,gender,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod
gender,0,100,100,99.49874371,99.49874371,99.49874371,99.49874371,98.99494937,99.49874371,99.49874371,99.49874371,99.49874371,99.49874371,99.49874371,99.49874371,98.99494937
SeniorCitizen,100,0,98.99494937,88.88194417,99.49874371,92.19544457,85.44003745,88.88194417,90.55385138,90.55385138,88.31760866,90,90,92.73618495,91.6515139,89.4427191
Partner,100,98.99494937,0,74.16198487,98.99494937,92.73618495,100,92.19544457,92.19544457,91.10433579,93.27379053,92.73618495,93.27379053,83.66600265,99.49874371,91.6515139
Dependents,99.49874371,88.88194417,74.16198487,0,100,98.48857802,90.55385138,90,91.6515139,91.6515139,90.55385138,92.19544457,92.73618495,87.17797887,94.33981132,92.19544457
PhoneService,99.49874371,99.49874371,98.99494937,100,0,0,74.16198487,90.55385138,91.10433579,91.10433579,90.55385138,90.55385138,90.55385138,100,98.99494937,99.49874371
MultipleLines,99.49874371,92.19544457,92.73618495,98.48857802,0,0,77.45966692,87.74964387,86.60254038,86.60254038,87.74964387,86.02325267,86.02325267,95.91663047,91.10433579,91.10433579
InternetService,99.49874371,85.44003745,100,90.55385138,74.16198487,77.45966692,0,52.91502622,53.85164807,53.85164807,52.91502622,52.91502622,52.91502622,88.88194417,78.74007874,83.06623863
OnlineSecurity,98.99494937,88.88194417,92.19544457,90,90.55385138,87.74964387,52.91502622,0,52.91502622,52.91502622,51.96152423,53.85164807,53.85164807,83.66600265,81.24038405,83.66600265
OnlineBackup,99.49874371,90.55385138,92.19544457,91.6515139,91.10433579,86.60254038,53.85164807,52.91502622,0,52.91502622,52.91502622,53.85164807,53.85164807,86.02325267,82.46211251,84.85281374
DeviceProtection,99.49874371,90.55385138,91.10433579,91.6515139,91.10433579,86.60254038,53.85164807,52.91502622,52.91502622,0,51.96152423,51.96152423,50.99019514,83.66600265,82.46211251,84.26149773
TechSupport,99.49874371,88.31760866,93.27379053,90.55385138,90.55385138,87.74964387,52.91502622,51.96152423,52.91502622,51.96152423,0,52.91502622,52.91502622,81.85352772,81.85352772,83.06623863
StreamingTV,99.49874371,90,92.73618495,92.19544457,90.55385138,86.02325267,52.91502622,53.85164807,53.85164807,51.96152423,52.91502622,0,47.95831523,87.17797887,81.24038405,85.44003745
StreamingMovies,99.49874371,90,93.27379053,92.73618495,90.55385138,86.02325267,52.91502622,53.85164807,53.85164807,50.99019514,52.91502622,47.95831523,0,87.17797887,81.85352772,85.44003745
Contract,99.49874371,92.73618495,83.66600265,87.17797887,100,95.91663047,88.88194417,83.66600265,86.02325267,83.66600265,81.85352772,87.17797887,87.17797887,0,90.55385138,85.44003745
PaperlessBilling,99.49874371,91.6515139,99.49874371,94.33981132,98.99494937,91.10433579,78.74007874,81.24038405,82.46211251,82.46211251,81.85352772,81.24038405,81.85352772,90.55385138,0,86.60254038
PaymentMethod,98.99494937,89.4427191,91.6515139,92.19544457,99.49874371,91.10433579,83.06623863,83.66600265,84.85281374,84.26149773,83.06623863,85.44003745,85.44003745,85.44003745,86.60254038,0