,Romney,Obama,Trump,Clinton,White,Black,Hispanic,Bachelors,High_School,Poverty,Density
Romney,0,200,7,194,52,139,108,130,105,119,123
Obama,200,0,193,5,150,58,92,71,97,80,77
Trump,7,193,0,198,47,143,119,149,109,114,126
Clinton,194,5,198,0,159,49,82,57,99,80,73
White,52,150,47,159,0,187,96,100,71,150,115
Black,139,58,143,49,187,0,110,108,136,54,90
Hispanic,108,92,119,82,96,110,0,99,138,89,92
Bachelors,130,71,149,57,100,108,99,0,40,142,76
High_School,105,97,109,99,71,136,138,40,0,166,98
Poverty,119,80,114,80,150,54,89,142,166,0,101
Density,123,77,126,73,115,90,92,76,98,101,0