input_file,status,original_n,final_n,final_m,added_vertices,total_length,exec_time_sec,max_rel_error_abs,max_error_pair_i,max_error_pair_j,mae

treemetric_n20_k1_idx1.csv,OK,20,38,37,18,37.0,0.225433,0.0,0,1,0.0
manhattan_n1000_k160_d2_s1.csv,TIMEOUT,,,,,,600.000346,,,,


manhattan_n10_k20_d2_s1.csv,OK,20,58,98,38,105.0,1.979622,0.0,0,1,0.0
manhattan_n10_k20_d2_s2.csv,OK,20,56,93,36,96.0,2.222580,0.0,0,1,0.0
manhattan_n10_k20_d2_s3.csv,OK,20,73,127,53,136.0,6.571745,0.0,0,1,0.0
manhattan_n10_k20_d2_s4.csv,OK,20,50,82,30,82.0,1.580915,0.0,0,1,0.0
manhattan_n10_k20_d2_s5.csv,OK,20,56,94,36,111.0,1.372387,0.0,0,1,0.0
manhattan_n10_k20_d2_s6.csv,OK,20,70,121,50,124.0,5.268677,0.0,0,1,0.0
manhattan_n10_k20_d2_s7.csv,OK,20,55,90,35,90.0,1.814530,0.0,0,1,0.0
manhattan_n10_k20_d2_s8.csv,OK,20,71,124,51,136.0,4.596595,0.0,0,1,0.0
manhattan_n10_k20_d2_s9.csv,OK,20,75,131,55,137.0,5.528509,0.0,0,1,0.0
manhattan_n10_k20_d2_s10.csv,OK,20,54,90,34,104.0,1.550032,0.0,0,1,0.0

manhattan_n20_k20_d2_s1.csv,OK,20,117,207,97,283.0,26.776734,0.0,0,1,0.0
manhattan_n20_k20_d2_s2.csv,OK,20,98,172,78,270.0,13.979982,0.0,0,1,0.0
manhattan_n20_k20_d2_s3.csv,OK,20,96,167,76,262.0,16.707966,0.0,0,1,0.0
manhattan_n20_k20_d2_s4.csv,OK,20,69,116,49,165.0,6.610018,0.0,0,1,0.0
manhattan_n20_k20_d2_s5.csv,OK,20,68,115,48,211.0,3.645152,0.0,0,1,0.0
manhattan_n20_k20_d2_s6.csv,OK,20,97,171,77,304.0,15.603126,0.0,0,1,0.0
manhattan_n20_k20_d2_s7.csv,OK,20,121,216,101,305.0,52.282654,0.0,0,1,0.0
manhattan_n20_k20_d2_s8.csv,OK,20,141,252,121,344.0,51.179646,0.0,0,1,0.0
manhattan_n20_k20_d2_s9.csv,OK,20,99,173,79,246.0,12.863078,0.0,0,1,0.0
manhattan_n20_k20_d2_s10.csv,OK,20,125,223,105,324.0,34.260348,0.0,0,1,0.0

manhattan_n50_k20_d2_s1.csv,OK,20,149,268,129,777.0,75.310970,0.0,0,1,0.0
manhattan_n50_k20_d2_s2.csv,OK,20,208,382,188,1142.0,331.001225,0.0,0,1,0.0
manhattan_n50_k20_d2_s3.csv,OK,20,170,309,150,988.0,203.676277,0.0,0,1,0.0
manhattan_n50_k20_d2_s4.csv,OK,20,146,259,126,588.0,94.180633,0.0,0,1,0.0
manhattan_n50_k20_d2_s5.csv,OK,20,190,347,170,998.0,236.537345,0.0,0,1,0.0
manhattan_n50_k20_d2_s6.csv,OK,20,189,343,169,1033.0,246.065937,0.0,0,1,0.0
manhattan_n50_k20_d2_s7.csv,OK,20,205,376,185,902.0,342.070401,0.0,0,1,0.0
manhattan_n50_k20_d2_s8.csv,OK,20,171,309,151,952.0,131.162333,0.0,0,1,0.0
manhattan_n50_k20_d2_s9.csv,OK,20,191,349,171,1053.0,273.036653,0.0,0,1,0.0
manhattan_n50_k20_d2_s10.csv,OK,20,147,264,127,848.0,70.325402,0.0,0,1,0.0

※600秒だとs1、s7、s9はタイムアウト
manhattan_n100_k20_d2_s1.csv,OK,20,258,478,238,2375.0,821.679182,0.0,0,1,0.0
manhattan_n100_k20_d2_s2.csv,OK,20,202,369,182,1983.0,310.051950,0.0,0,1,0.0
manhattan_n100_k20_d2_s3.csv,OK,20,211,386,191,1994.0,477.872414,0.0,0,1,0.0
manhattan_n100_k20_d2_s4.csv,OK,20,210,385,190,1649.0,494.808701,0.0,0,1,0.0
manhattan_n100_k20_d2_s5.csv,OK,20,189,341,169,1796.0,210.056891,0.0,0,1,0.0
manhattan_n100_k20_d2_s6.csv,OK,20,227,416,207,2261.0,436.681915,0.0,0,1,0.0
manhattan_n100_k20_d2_s7.csv,OK,20,241,443,221,2168.0,633.827585,0.0,0,1,0.0
manhattan_n100_k20_d2_s8.csv,OK,20,202,368,182,2058.0,284.689122,0.0,0,1,0.0
manhattan_n100_k20_d2_s9.csv,OK,20,241,445,221,2167.0,614.140491,0.0,0,1,0.0
manhattan_n100_k20_d2_s10.csv,OK,20,158,282,138,1349.0,121.978377,0.0,0,1,0.0

※600秒だとs1、s2、s4、s6、s7はタイムアウト
manhattan_n200_k20_d2_s1.csv,OK,20,301,563,281,5128.0,1247.959051,0.0,0,1,0.0
manhattan_n200_k20_d2_s2.csv,OK,20,275,511,255,5151.0,806.540077,0.0,0,1,0.0
manhattan_n200_k20_d2_s3.csv,OK,20,166,299,146,3178.0,170.175134,0.0,0,1,0.0
manhattan_n200_k20_d2_s4.csv,OK,20,237,437,217,3190.0,674.020578,0.0,0,1,0.0
manhattan_n200_k20_d2_s5.csv,OK,20,225,410,205,3840.0,405.272800,0.0,0,1,0.0
manhattan_n200_k20_d2_s6.csv,OK,20,253,466,233,4662.0,735.240825,0.0,0,1,0.0
manhattan_n200_k20_d2_s7.csv,OK,20,242,445,222,4316.0,724.731413,0.0,0,1,0.0
manhattan_n200_k20_d2_s8.csv,OK,20,191,345,171,3563.0,195.618771,0.0,0,1,0.0
manhattan_n200_k20_d2_s9.csv,OK,20,217,395,197,3970.0,440.894627,0.0,0,1,0.0
manhattan_n200_k20_d2_s10.csv,OK,20,207,378,187,3992.0,303.843294,0.0,0,1,0.0

manhattan_n500_k20_d2_s1.csv,TIMEOUT,,,,,,600.000137,,,,
manhattan_n500_k20_d2_s2.csv,OK,20,227,418,207,11466.0,464.168586,0.0,0,1,0.0
manhattan_n500_k20_d2_s3.csv,OK,20,219,400,199,10809.0,530.256500,0.0,0,1,0.0
manhattan_n500_k20_d2_s4.csv,TIMEOUT,,,,,,600.000018,,,,
manhattan_n500_k20_d2_s5.csv,OK,20,246,453,226,10106.0,471.700800,0.0,0,1,0.0
manhattan_n500_k20_d2_s6.csv,TIMEOUT,,,,,,600.000257,,,,
manhattan_n500_k20_d2_s7.csv,TIMEOUT,,,,,,600.000094,,,,
manhattan_n500_k20_d2_s8.csv,TIMEOUT,,,,,,600.000096,,,,
manhattan_n500_k20_d2_s9.csv,OK,20,224,408,204,9302.0,448.717680,0.0,0,1,0.0
manhattan_n500_k20_d2_s10.csv,TIMEOUT,,,,,,600.000057,,,,

※600秒だと全てタイムアウト
manhattan_n1000_k20_d2_s1.csv,OK,20,268,498,248,25449.0,1152.393303,0.0,0,1,0.0
manhattan_n1000_k20_d2_s2.csv,OK,20,267,495,247,24280.0,765.575475,0.0,0,1,0.0
manhattan_n1000_k20_d2_s3.csv,OK,20,237,435,217,22178.0,695.022213,0.0,0,1,0.0
manhattan_n1000_k20_d2_s4.csv,OK,20,250,460,230,14859.0,922.356522,0.0,0,1,0.0
manhattan_n1000_k20_d2_s5.csv,OK,20,262,486,242,24153.0,789.267515,0.0,0,1,0.0
manhattan_n1000_k20_d2_s6.csv,OK,20,259,478,239,23475.0,666.213222,0.0,0,1,0.0
manhattan_n1000_k20_d2_s7.csv,OK,20,244,448,224,20927.0,707.956459,0.0,0,1,0.0
manhattan_n1000_k20_d2_s8.csv,OK,20,264,488,244,24157.0,1146.285911,0.0,0,1,0.0
manhattan_n1000_k20_d2_s9.csv,OK,20,271,502,251,24908.0,968.665562,0.0,0,1,0.0
manhattan_n1000_k20_d2_s10.csv,OK,20,261,484,241,22958.0,1327.727527,0.0,0,1,0.0


manhattan_n50_k5_d2_s1.csv,OK,5,7,7,2,72.0,0.001180,0.0,0,1,0.0
manhattan_n50_k5_d2_s2.csv,OK,5,7,6,2,70.0,0.000592,0.0,0,1,0.0
manhattan_n50_k5_d2_s3.csv,OK,5,7,7,2,138.0,0.000582,0.0,0,1,0.0
manhattan_n50_k5_d2_s4.csv,OK,5,10,12,5,72.0,0.002235,0.0,0,1,0.0
manhattan_n50_k5_d2_s5.csv,OK,5,9,9,4,100.0,0.001544,0.0,0,1,0.0
manhattan_n50_k5_d2_s6.csv,OK,5,10,12,5,130.0,0.002244,0.0,0,1,0.0
manhattan_n50_k5_d2_s7.csv,OK,5,9,9,4,66.0,0.001475,0.0,0,1,0.0
manhattan_n50_k5_d2_s8.csv,OK,5,7,7,2,92.0,0.000681,0.0,0,1,0.0
manhattan_n50_k5_d2_s9.csv,OK,5,8,9,3,68.0,0.000813,0.0,0,1,0.0
manhattan_n50_k5_d2_s10.csv,OK,5,12,15,7,141.0,0.003844,0.0,0,1,0.0

manhattan_n50_k10_d2_s1.csv,OK,10,39,61,29,300.0,0.426180,0.0,0,1,0.0
manhattan_n50_k10_d2_s2.csv,OK,10,55,91,45,487.0,1.238281,0.0,0,1,0.0
manhattan_n50_k10_d2_s3.csv,OK,10,46,74,36,433.0,0.711392,0.0,0,1,0.0
manhattan_n50_k10_d2_s4.csv,OK,10,42,68,32,216.0,0.466507,0.0,0,1,0.0
manhattan_n50_k10_d2_s5.csv,OK,10,37,55,27,326.0,0.313022,0.0,0,1,0.0
manhattan_n50_k10_d2_s6.csv,OK,10,47,75,37,446.0,0.859641,0.0,0,1,0.0
manhattan_n50_k10_d2_s7.csv,OK,10,36,54,26,173.0,0.363171,0.0,0,1,0.0
manhattan_n50_k10_d2_s8.csv,OK,10,52,86,42,409.0,1.027011,0.0,0,1,0.0
manhattan_n50_k10_d2_s9.csv,OK,10,43,70,33,412.0,0.677254,0.0,0,1,0.0
manhattan_n50_k10_d2_s10.csv,OK,10,46,76,36,434.0,0.812280,0.0,0,1,0.0

manhattan_n50_k20_d2_s1.csv,OK,20,149,268,129,777.0,75.310970,0.0,0,1,0.0
manhattan_n50_k20_d2_s2.csv,OK,20,208,382,188,1142.0,331.001225,0.0,0,1,0.0
manhattan_n50_k20_d2_s3.csv,OK,20,170,309,150,988.0,203.676277,0.0,0,1,0.0
manhattan_n50_k20_d2_s4.csv,OK,20,146,259,126,588.0,94.180633,0.0,0,1,0.0
manhattan_n50_k20_d2_s5.csv,OK,20,190,347,170,998.0,236.537345,0.0,0,1,0.0
manhattan_n50_k20_d2_s6.csv,OK,20,189,343,169,1033.0,246.065937,0.0,0,1,0.0
manhattan_n50_k20_d2_s7.csv,OK,20,205,376,185,902.0,342.070401,0.0,0,1,0.0
manhattan_n50_k20_d2_s8.csv,OK,20,171,309,151,952.0,131.162333,0.0,0,1,0.0
manhattan_n50_k20_d2_s9.csv,OK,20,191,349,171,1053.0,273.036653,0.0,0,1,0.0
manhattan_n50_k20_d2_s10.csv,OK,20,147,264,127,848.0,70.325402,0.0,0,1,0.0

manhattan_n50_k40_d2_s1.csv,TIMEOUT,,,,,,600.000586,,,,
manhattan_n50_k40_d2_s2.csv,TIMEOUT,,,,,,600.000062,,,,
manhattan_n50_k40_d2_s3.csv,TIMEOUT,,,,,,600.000132,,,,
manhattan_n50_k40_d2_s4.csv,TIMEOUT,,,,,,600.000009,,,,
manhattan_n50_k40_d2_s5.csv,TIMEOUT,,,,,,600.000156,,,,
manhattan_n50_k40_d2_s6.csv,TIMEOUT,,,,,,600.000099,,,,
manhattan_n50_k40_d2_s7.csv,TIMEOUT,,,,,,600.000044,,,,
manhattan_n50_k40_d2_s8.csv,TIMEOUT,,,,,,600.000386,,,,
manhattan_n50_k40_d2_s9.csv,TIMEOUT,,,,,,600.000133,,,,
manhattan_n50_k40_d2_s10.csv,TIMEOUT,,,,,,600.000173,,,,


manhattan_n10_k5_d2_base.csv,OK,5,11,13,6,27.0,0.002968,0.0,0,1,0.0
manhattan_n10_k5_d2_add1.csv,OK,6,16,21,10,46.0,0.013188,0.0,0,1,0.0
manhattan_n10_k5_d2_add2.csv,OK,7,46,83,39,109.0,0.832604,0.0,0,1,0.0
manhattan_n10_k5_d2_add3.csv,OK,8,47,84,39,117.0,0.914482,0.0,0,1,0.0
manhattan_n10_k5_d2_add4.csv,OK,9,144,370,135,397.0,68.696231,0.0,0,1,0.0
manhattan_n10_k5_d2_add5.csv,OK,10,146,373,136,400.0,72.968818,0.0,0,1,0.0
manhattan_n10_k5_d2_add6.csv,OK,11,150,382,139,407.0,80.735717,0.0,0,1,0.0
manhattan_n10_k5_d2_add7.csv,OK,12,208,563,196,611.0,288.757436,0.0,0,1,0.0
manhattan_n10_k5_d2_add8.csv,TIMEOUT,,,,,,600.000037,,,,
manhattan_n10_k5_d2_add9.csv,TIMEOUT,,,,,,600.000053,,,,
manhattan_n10_k5_d2_add10.csv,TIMEOUT,,,,,,600.000046,,,,

manhattan_n10_k10_d2_base.csv,OK,10,24,34,14,52.0,0.067925,0.0,0,1,0.0
manhattan_n10_k10_d2_add1.csv,OK,11,30,44,19,62.0,0.148361,0.0,0,1,0.0
manhattan_n10_k10_d2_add2.csv,OK,12,34,51,22,75.0,0.231554,0.0,0,1,0.0
manhattan_n10_k10_d2_add3.csv,OK,13,127,310,114,318.0,49.960524,0.0,0,1,0.0
manhattan_n10_k10_d2_add4.csv,OK,14,130,316,116,323.0,54.568777,0.0,0,1,0.0
manhattan_n10_k10_d2_add5.csv,OK,15,159,397,144,412.0,136.616466,0.0,0,1,0.0
manhattan_n10_k10_d2_add6.csv,TIMEOUT,,,,,,600.000134,,,,
manhattan_n10_k10_d2_add7.csv,TIMEOUT,,,,,,600.000179,,,,

manhattan_n10_k20_d2_base.csv,OK,20,58,98,38,105.0,1.997390,0.0,0,1,0.0
manhattan_n10_k20_d2_add1.csv,OK,21,59,99,38,110.0,2.136902,0.0,0,1,0.0
manhattan_n10_k20_d2_add2.csv,OK,22,60,100,38,119.0,2.228642,0.0,0,1,0.0
manhattan_n10_k20_d2_add3.csv,OK,23,90,166,67,190.0,16.852932,0.0,0,1,0.0
manhattan_n10_k20_d2_add4.csv,OK,24,192,508,168,518.0,345.444954,0.0,0,1,0.0
manhattan_n10_k20_d2_add5.csv,OK,25,202,527,177,536.0,419.897065,0.0,0,1,0.0
manhattan_n10_k20_d2_add6.csv,OK,26,219,591,193,600.0,572.044795,0.0,0,1,0.0
manhattan_n10_k20_d2_add7.csv,TIMEOUT,,,,,,600.000011,,,,
manhattan_n10_k20_d2_add8.csv,TIMEOUT,,,,,,600.000108,,,,

manhattan_n50_k5_d2_base.csv,OK,5,7,7,2,72.0,0.000523,0.0,0,1,0.0
manhattan_n50_k5_d2_add1.csv,OK,6,12,14,6,156.0,0.003855,0.0,0,1,0.0
manhattan_n50_k5_d2_add2.csv,OK,7,143,350,136,724.0,63.288949,0.0,0,1,0.0
manhattan_n50_k5_d2_add3.csv,OK,8,152,365,144,783.0,81.281245,0.0,0,1,0.0
manhattan_n50_k5_d2_add4.csv,TIMEOUT,,,,,,600.000054,,,,
manhattan_n50_k5_d2_add5.csv,TIMEOUT,,,,,,600.000131,,,,

manhattan_n50_k10_d2_base.csv,OK,10,39,61,29,300.0,0.462952,0.0,0,1,0.0
manhattan_n50_k10_d2_add1.csv,OK,11,48,77,37,355.0,1.097973,0.0,0,1,0.0
manhattan_n50_k10_d2_add2.csv,OK,12,71,121,59,605.0,5.794971,0.0,0,1,0.0
manhattan_n50_k10_d2_add3.csv,TIMEOUT,,,,,,600.000037,,,,
manhattan_n50_k10_d2_add4.csv,TIMEOUT,,,,,,600.000259,,,,
manhattan_n50_k10_d2_add5.csv,TIMEOUT,,,,,,600.000304,,,,

manhattan_n50_k20_d2_base.csv,OK,20,149,268,129,777.0,74.816694,0.0,0,1,0.0
manhattan_n50_k20_d2_add1.csv,OK,21,157,282,136,824.0,89.343142,0.0,0,1,0.0
manhattan_n50_k20_d2_add2.csv,OK,22,168,302,146,896.0,115.283969,0.0,0,1,0.0
manhattan_n50_k20_d2_add3.csv,TIMEOUT,,,,,,600.000092,,,,
manhattan_n50_k20_d2_add4.csv,TIMEOUT,,,,,,600.000103,,,,
manhattan_n50_k20_d2_add5.csv,TIMEOUT,,,,,,600.000016,,,,

